확진자수증감,관람객수증감
0.0,-0.4699077026383289
-0.7767985611510791,0.569278161411186
-0.43352135374697826,1.5320677798191105
0.9701280227596017,0.4539146127099963
0.08953068592057761,0.5723739348294206
2.7673956262425445,-0.6617149039259855
-0.2874230430958663,0.5504035772709189
-0.2930140705998519,-0.2240799773999058
1.8697625698324023,-0.5997916730407113
2.971042705925295,0.2413305413333908
-0.44190820515962986,0.7422822805001016
-0.35069997255009605,0.0464632766909175
0.1355373298385051,-0.21318067501711954
0.5002233804914371,0.7092072115318944
-0.13857454834226723,0.12524649067605348
-0.0718483521548744,0.4156788061664086
1.6094108883232976,0.1338260671507619
0.3059831093136672,-0.3157695457518645
0.09111609013242983,-0.04068126804794765
-0.10766456869062922,0.25436067871064316
0.5946117867165576,0.30557723503584855
