년월,관람객수,covid
2020-03,1834722,5560.0
2020-04,972572,1241.0
2020-05,1526236,703.0
2020-06,3864533,1385.0
2020-07,5618701,1509.0
2020-08,8834699,5685.0
2020-09,2988647,4051.0
2020-10,4633609,2864.0
2020-11,3595310,8219.0
2020-12,1438873,32638.0
2021-01,1786117,18215.0
2021-02,3111920,11827.0
2021-03,3256510,13430.0
2021-04,2562285,20148.0
2021-05,4379476,17356.0
2021-06,4927990,16109.0
2021-07,6976451,42035.0
2021-08,7910082,54897.0
2021-09,5412319,59899.0
2021-10,5192139,53450.0
2021-11,6512815,85232.0
2021-12,8502983,183680.0
