,20c3m4,20c4m5,20c5m6,20c6m7,20c7m8,20c8m9,20c9m10,20c10m11,20c11m12,20c1221m1,21c1m2,21c2m3,21c3m4,21c4m5,21c5m6,21c6m7,21c7m8,21c8m9,21c9m10,21c10m11,21c11m12
0,32390.0,70147,28428.0,94073,436480,64780.0,372156,228647.0,40854,60747,60260.0,162608,65824.0,204635,76466.0,118656,409792,224163.0,115591,81511.0,138340
1,27536.0,74721,27218.0,83832,369037,72023.0,411306,72249.0,40058,49018,59759.0,47070,68983.0,159691,77178.0,164475,225973,155882.0,242601,83333.0,118661
2,25690.0,74923,28185.0,93356,192059,69075.0,389451,67671.0,48299,40186,107395.0,77666,187487.0,57398,121954.0,306639,217963,173685.0,264556,337027.0,123887
3,42628.0,49275,84157.0,192541,191830,82074.0,299083,125420.0,42529,14518,82535.0,79700,160755.0,77940,148388.0,286630,230747,396214.0,212283,223146.0,236162
4,37548.0,114696,84798.0,166229,452463,160869.0,89942,114139.0,68470,15741,84352.0,87069,43160.0,326744,347457.0,93561,203358,364069.0,58414,277533.0,209509
5,15725.0,32685,165677.0,56653,384029,141700.0,78047,141729.0,64329,16591,179138.0,222971,40889.0,61494,307184.0,109637,189014,110139.0,72805,592547.0,68607
6,15429.0,30920,151396.0,55184,421208,54559.0,86065,296003.0,24014,15393,162214.0,214664,56611.0,69404,91282.0,256487,358920,92777.0,62562,515982.0,67631
7,18634.0,28718,46276.0,67422,729498,53254.0,89690,271064.0,21756,15419,61927.0,58559,52712.0,113036,78851.0,224746,347158,100032.0,77907,143154.0,84529
8,18514.0,80420,43091.0,63649,654596,62622.0,194953,82144.0,24744,34658,64470.0,55426,60001.0,122405,98863.0,249764,135384,106840.0,170800,125358.0,90725
9,18992.0,69039,74653.0,70847,265688,68788.0,180855,79844.0,48472,30662,108568.0,58456,119307.0,40077,89855.0,527019,129620,110278.0,195155,180743.0,89414
10,40012.0,24054,107343.0,143306,244876,74379.0,157955,96134.0,40461,10776,167142.0,71930,108861.0,39008,124331.0,462065,259735,251127.0,151081,148272.0,154135
11,39689.0,24657,103720.0,131387,312748,146177.0,54747,108349.0,56294,11659,167858.0,79767,39056.0,53654,270495.0,125104,226155,245787.0,49925,179499.0,145378
12,15805.0,28416,207343.0,51066,279371,121534.0,54051,124869.0,50509,13497,197651.0,177135,40305.0,42390,229702.0,112252,240010,73204.0,231126,387484.0,52396
13,16136.0,29332,195876.0,48767,421265,42684.0,57006,238921.0,21875,20741,174552.0,165520,39199.0,50196,69265.0,253765,472833,67196.0,150583,344818.0,59070
14,45868.0,36252,54457.0,376009,657828,42644.0,79026,216000.0,20731,19195,70062.0,46429,76248.0,130445,71352.0,178803,508470,153236.0,180934,95217.0,657469
15,20123.0,69114,52895.0,247639,595561,46746.0,83335,72370.0,25057,35274,62858.0,48900,93299.0,123740,137078.0,206321,418933,115536.0,418165,87248.0,415297
16,24394.0,64641,63429.0,287503,404734,67224.0,171094,70450.0,25870,32817,80865.0,68423,167374.0,34953,129465.0,392986,156277,147184.0,367388,151505.0,438838
17,45453.0,25864,111110.0,554620,144452,69147.0,151008,91234.0,25826,11784,81164.0,74377,138435.0,44010,156161.0,341781,233432,300368.0,93639,179794.0,679040
18,46883.0,26906,107169.0,483637,128740,142220.0,53927,86086.0,42468,13440,80009.0,73637,45141.0,482681,326960.0,119601,198185,296612.0,84948,173478.0,715005
19,18900.0,29061,198190.0,163070,112834,121555.0,54988,101368.0,38944,71631,156198.0,176741,45866.0,125570,287133.0,112831,210249,270476.0,143264,301574.0,231784
20,20002.0,32133,183468.0,139937,106498,39653.0,79009,174380.0,18550,56464,148410.0,152603,57495.0,144091,100461.0,157503,479617,339780.0,110690,276388.0,216070
21,21295.0,34783,46791.0,144944,195928,39235.0,129163,166674.0,20257,59664,61468.0,43209,53146.0,316902,98927.0,143064,474275,340820.0,151158,111304.0,294007
22,24447.0,72858,49020.0,129697,174528,62914.0,125022,50530.0,65196,154888,65159.0,44215,61472.0,289145,160234.0,148543,142036,98655.0,312184,112298.0,252592
23,23582.0,71410,235954.0,163006,63788,83587.0,233525,44059.0,65960,148725,112130.0,79648,185489.0,87394,133164.0,311453,134719,99728.0,281255,204478.0,363934
24,48434.0,28240,206970.0,326606,58608,85814.0,206535,83365.0,141746,52991,85570.0,82619,123762.0,80606,156374.0,286090,199410,194056.0,86521,153123.0,814717
25,44236.0,29591,214441.0,271437,176421,165883.0,75389,60903.0,87197,53749,85210.0,92743,45836.0,154357,336730.0,110319,129593,182893.0,79514,171189.0,592407
26,19820.0,49597,409650.0,98761,113737,152362.0,77339,61281.0,79216,166322,158912.0,252086,56448.0,104276,303930.0,112679,145777,52312.0,142360,326771.0,205300
27,25547.0,33504,375375.0,102440,119775,66995.0,130025,110677.0,34456,85395,186084.0,225309,121227.0,139648,106110.0,257879,314366,55978.0,95654,311090.0,184211
28,71905.0,38134,99375.0,321919,190060,250413.0,80546,105139.0,36828,89553,,64528,89372.0,320570,107360.0,207094,308608,170445.0,119962,113019.0,257281
29,106955.0,74943,108078.0,215462,159983,337737.0,135481,53611.0,52810,198648,,61726,118525.0,286486,185280.0,221926,97131,122847.0,240786,123932.0,232871
30,,77202,,273702,76076,,252890,,65097,185971,,110776,,96530,,376778,112342,,228328,,313716
