,year,month,covid
0,2020,03,5560.0
1,2020,04,1241.0
2,2020,05,703.0
3,2020,06,1385.0
4,2020,07,1509.0
5,2020,08,5685.0
6,2020,09,4051.0
7,2020,10,2864.0
8,2020,11,8219.0
9,2020,12,32638.0
10,2021,01,18215.0
11,2021,02,11827.0
12,2021,03,13430.0
13,2021,04,20148.0
14,2021,05,17356.0
15,2021,06,16109.0
16,2021,07,42035.0
17,2021,08,54897.0
18,2021,09,59899.0
19,2021,10,53450.0
20,2021,11,85232.0
21,2021,12,183680.0
22,2022,01,215009.0
23,2022,02,2288947.0
24,2022,03,11363545.0
25,2022,04,4270563.0
26,2022,05,866392.0
27,2022,06,259639.0
28,2022,07,1406796.0
29,2022,08,3540725.0
30,2022,09,1454451.0
31,2022,10,771880.0
32,2022,11,1024942.0
