,2019,2019,2020,2020,2021,2021
,이용경험있음,이용경험없음,이용경험있음,이용경험없음,이용경험있음,이용경험없음
강원,32.8,67.2,59.4,40.6,69.0,31.0
경기,37.1,62.9,71.1,28.9,83.0,17.0
경남,47.3,52.7,64.9,35.1,76.1,23.9
경북,24.1,75.9,54.5,45.5,62.1,37.9
광주,34.2,65.8,82.0,18.0,88.8,11.2
대구,33.5,66.5,68.4,31.6,74.1,25.9
대전,72.8,27.2,81.8,18.2,89.4,10.6
부산,55.0,45.0,77.6,22.4,84.6,15.4
서울,34.9,65.1,77.3,22.7,86.9,13.1
세종,73.8,26.2,91.5,8.5,92.8,7.2
울산,64.2,35.8,77.8,22.2,84.4,15.6
인천,40.1,59.9,76.0,24.0,85.0,15.0
전남,12.0,88.0,68.9,31.1,80.1,19.9
전북,35.9,64.1,71.6,28.4,82.6,17.4
제주,42.9,57.1,63.9,36.1,64.7,35.3
충남,67.7,32.3,68.2,31.8,80.2,19.8
충북,71.6,28.4,79.6,20.4,85.6,14.4
