지역,이용경험있음_증감률,이용경험없음_증감률,스크린증감률
강원,110.3658536585366,-53.86904761904761,-1.3888888888888888
경기,123.71967654986524,-72.97297297297297,-2.9381965552178317
경남,60.88794926004229,-54.64895635673624,-0.45871559633027525
경북,157.67634854771785,-50.06587615283268,-4.191616766467066
광주,159.6491228070175,-82.97872340425532,0.0
대구,121.19402985074626,-61.05263157894737,-1.2048192771084338
대전,22.802197802197817,-61.02941176470589,0.0
부산,53.81818181818181,-65.77777777777779,-0.41841004184100417
서울,148.99713467048713,-79.87711213517665,-0.7062146892655368
세종,25.745257452574528,-72.51908396946564,0.0
울산,31.464174454828665,-56.42458100558658,0.0
인천,111.97007481296755,-74.95826377295492,-13.761467889908257
전남,567.5,-77.38636363636363,-8.823529411764707
전북,130.08356545961,-72.85491419656786,-7.4074074074074066
제주,50.81585081585083,-38.17863397548162,-22.641509433962266
충남,18.46381093057607,-38.69969040247677,-4.545454545454546
충북,19.553072625698327,-49.29577464788732,-7.746478873239436
